N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
615.0,신한 인버스0.5X S&P500 VIX S/T선물 ETN,35720.0,하락  450,-1.24%,0.0,,,
616.0,HDC랩스,8250.0,하락  260,-3.06%,500.0,6063.0,3833.0,105.0
617.0,TIGER 반도체,31490.0,"상승  1,420",+4.72%,0.0,,,
618.0,오리엔트바이오,1795.0,상승  59,+3.40%,500.0,280.0,970.0,-6.0
619.0,TIGER 글로벌AI액티브,18455.0,상승  155,+0.85%,0.0,,,
620.0,HLB글로벌,4350.0,상승  200,+4.82%,500.0,799.0,1101.0,-129.0
621.0,1Q 단기금융채액티브,106010.0,상승  20,+0.02%,0.0,,,
622.0,TIGER 미국S&P500동일가중,10925.0,하락  55,-0.50%,0.0,,,
623.0,삼화전기,31900.0,상승  400,+1.27%,1000.0,2025.0,1392.0,78.0
624.0,하이트진로홀딩스,9090.0,보합0,0.00%,5000.0,25069.0,39798.0,1381.0
625.0,TIGER 27-04회사채(A+이상)액티브,52185.0,상승  60,+0.12%,0.0,,,
626.0,RISE 200TR,17980.0,상승  350,+1.99%,0.0,,,
627.0,신세계 I&C,13740.0,하락  170,-1.22%,500.0,6189.0,4766.0,400.0
628.0,SOL 26-12 회사채(AA-이상)액티브,50780.0,상승  55,+0.11%,0.0,,,
629.0,대교,2475.0,하락  30,-1.20%,500.0,6597.0,6045.0,-278.0
630.0,KPX케미칼,43300.0,하락  200,-0.46%,5000.0,9111.0,8225.0,584.0
631.0,삼익THK,9960.0,하락  10,-0.10%,500.0,3156.0,4736.0,69.0
632.0,삼부토건,914.0,상승  2,+0.22%,1000.0,5750.0,5137.0,-782.0
633.0,한솔제지,8670.0,상승  50,+0.58%,5000.0,21941.0,20744.0,472.0
634.0,코오롱ENP,5430.0,상승  150,+2.84%,1000.0,4562.0,3630.0,338.0
635.0,RISE ESG사회책임투자,12190.0,상승  295,+2.48%,0.0,,,
636.0,KODEX 200액티브,9365.0,상승  165,+1.79%,0.0,,,
637.0,일성아이에스,15320.0,하락  30,-0.20%,1000.0,781.0,4192.0,-80.0
638.0,TYM,4495.0,상승  75,+1.70%,2500.0,8365.0,8491.0,765.0
639.0,RISE 수소경제테마,8575.0,상승  150,+1.78%,0.0,,,
640.0,KSS해운,8670.0,상승  90,+1.05%,500.0,4726.0,16560.0,884.0
641.0,알루코,2050.0,상승  20,+0.99%,500.0,5912.0,8611.0,376.0
642.0,RISE 단기국공채액티브,111635.0,상승  40,+0.04%,0.0,,,
643.0,KODEX 코스닥150선물인버스,3990.0,하락  155,-3.74%,0.0,,,
644.0,AJ네트웍스,4360.0,상승  65,+1.51%,1000.0,10020.0,16222.0,784.0
645.0,SOL 미국30년국채커버드콜(합성),9885.0,상승  80,+0.82%,0.0,,,
646.0,삼영전자,9830.0,하락  100,-1.01%,500.0,1773.0,5440.0,65.0
647.0,제이에스코퍼레이션,14350.0,하락  210,-1.44%,100.0,8628.0,7629.0,840.0
648.0,신한서부티엔디리츠,3505.0,상승  40,+1.15%,1000.0,175.0,6481.0,105.0
649.0,남선알미늄,1517.0,상승  6,+0.40%,500.0,3105.0,4327.0,64.0
650.0,넥스틸,7500.0,상승  170,+2.32%,500.0,6191.0,6425.0,1573.0
651.0,하나제약,10970.0,상승  290,+2.72%,500.0,2245.0,3484.0,270.0
652.0,KODEX 차이나항셍테크,7120.0,하락  35,-0.49%,0.0,,,
653.0,TIGER 화장품,2695.0,상승  15,+0.56%,0.0,,,
654.0,KODEX 코리아밸류업,9480.0,상승  160,+1.72%,0.0,,,
655.0,한투 레버리지 S&P500 선물 ETN(H),38055.0,하락  430,-1.12%,0.0,,,
656.0,LG헬로비전,2450.0,상승  40,+1.66%,2500.0,11903.0,13194.0,474.0
657.0,TIGER 미국테크TOP10 INDXX(H),15195.0,하락  70,-0.46%,0.0,,,
658.0,다올투자증권,3090.0,하락  55,-1.75%,5000.0,15084.0,92118.0,-620.0
659.0,한미글로벌,17050.0,상승  70,+0.41%,500.0,4129.0,3989.0,296.0
660.0,에이블씨엔씨,7170.0,하락  30,-0.42%,500.0,2736.0,1738.0,114.0
661.0,ACE 미국달러SOFR금리(합성),12085.0,상승  15,+0.12%,0.0,,,
662.0,KODEX TRF3070,13560.0,상승  45,+0.33%,0.0,,,
663.0,동아지질,13840.0,상승  20,+0.14%,500.0,3450.0,3909.0,77.0
664.0,TIGER 미국필라델피아AI반도체나스닥,11115.0,상승  130,+1.18%,0.0,,,
665.0,일진홀딩스,3750.0,하락  10,-0.27%,1000.0,14719.0,16648.0,575.0
666.0,동성케미컬,3720.0,하락  25,-0.67%,1000.0,11180.0,9706.0,816.0
667.0,방림,4365.0,하락  15,-0.34%,500.0,1106.0,2316.0,-33.0
668.0,무림P&P,2955.0,상승  5,+0.17%,2500.0,7689.0,16230.0,116.0
669.0,BYC,29400.0,보합0,0.00%,500.0,1684.0,6857.0,275.0
670.0,웅진씽크빅,1587.0,상승  37,+2.39%,500.0,8901.0,7394.0,56.0
671.0,조선내화,15460.0,상승  150,+0.98%,500.0,2794.0,4380.0,319.0
672.0,HANARO Fn K-반도체,9415.0,상승  370,+4.09%,0.0,,,
673.0,조일알미늄,1443.0,상승  29,+2.05%,500.0,4658.0,3909.0,85.0
674.0,KODEX 2차전지산업레버리지,1285.0,상승  123,+10.59%,0.0,,,
675.0,성신양회,7420.0,상승  10,+0.13%,5000.0,11133.0,13102.0,733.0
676.0,동국씨엠,6060.0,상승  100,+1.68%,5000.0,12661.0,17107.0,267.0
677.0,일신방직,7750.0,상승  30,+0.39%,500.0,5394.0,10592.0,-10.0
678.0,무학,6310.0,보합0,0.00%,200.0,1466.0,6393.0,162.0
679.0,KODEX 미국나스닥100레버리지(합성 H),12110.0,하락  165,-1.34%,0.0,,,
680.0,미원홀딩스,77500.0,하락  400,-0.51%,500.0,4432.0,4675.0,156.0
681.0,인스코비,1506.0,하락  5,-0.33%,500.0,998.0,765.0,4.0
682.0,LG우,59100.0,상승  300,+0.51%,5000.0,,,
683.0,코오롱,14140.0,상승  80,+0.57%,5000.0,58942.0,52314.0,1029.0
684.0,해태제과식품,6120.0,상승  150,+2.51%,500.0,6249.0,6850.0,457.0
685.0,SOL 미국배당미국채혼합50,10535.0,하락  10,-0.09%,0.0,,,
686.0,KODEX 단기변동금리부채권액티브,112905.0,하락  35,-0.03%,0.0,,,
687.0,KODEX 골드선물(H),16160.0,상승  160,+1.00%,0.0,,,
688.0,한국공항,56000.0,상승  200,+0.36%,5000.0,5447.0,4769.0,340.0
689.0,현대비앤지스틸,11740.0,상승  280,+2.44%,5000.0,10453.0,7926.0,-352.0
690.0,동화약품,6330.0,상승  30,+0.48%,1000.0,3611.0,5650.0,188.0
691.0,경농,9050.0,상승  50,+0.56%,500.0,3474.0,4486.0,252.0
692.0,TIGER 미국S&P500선물(H),63560.0,하락  310,-0.49%,0.0,,,
693.0,코람코더원리츠,4365.0,상승  25,+0.58%,500.0,74.0,5119.0,39.0
694.0,경방,6430.0,상승  20,+0.31%,500.0,3935.0,12069.0,160.0
695.0,진원생명과학,2200.0,보합0,0.00%,1000.0,402.0,1510.0,-484.0
696.0,롯데하이마트,7430.0,상승  120,+1.64%,5000.0,26101.0,23707.0,82.0
697.0,제일약품,11830.0,상승  320,+2.78%,500.0,7264.0,4873.0,87.0
698.0,일신석재,2245.0,하락  5,-0.22%,500.0,1012.0,983.0,46.0
699.0,진양홀딩스,3100.0,상승  10,+0.32%,500.0,2711.0,6431.0,35.0
700.0,한국석유,13650.0,상승  430,+3.25%,500.0,6792.0,3540.0,152.0
701.0,TIGER CD금리플러스액티브(합성),1001080.0,상승  70,+0.01%,0.0,,,
702.0,JW생명과학,10930.0,상승  150,+1.39%,2500.0,2069.0,2558.0,309.0
703.0,RISE 25-06 은행채(AA+이상)액티브,51015.0,상승  20,+0.04%,0.0,,,
704.0,미원화학,78600.0,하락  100,-0.13%,1000.0,2326.0,1648.0,249.0
705.0,포스코스틸리온,28750.0,상승  750,+2.68%,5000.0,11585.0,5522.0,306.0
706.0,사조산업,34450.0,하락  100,-0.29%,5000.0,6322.0,11698.0,-239.0
707.0,ACE 미국빅테크7+데일리타겟커버드콜(합성),12430.0,하락  100,-0.80%,0.0,,,
708.0,SOL 200TR,11890.0,상승  225,+1.93%,0.0,,,
709.0,RISE 국고채3년선물인버스,109305.0,하락  45,-0.04%,0.0,,,
710.0,삼화페인트,6280.0,상승  100,+1.62%,500.0,6314.0,5906.0,258.0
711.0,TIGER 글로벌비만치료제TOP2Plus,9845.0,상승  70,+0.72%,0.0,,,
712.0,KODEX 미국달러선물인버스2X,5105.0,보합0,0.00%,0.0,,,
713.0,코오롱글로벌,8950.0,상승  140,+1.59%,5000.0,26635.0,25713.0,128.0
714.0,노루홀딩스,12700.0,하락  10,-0.08%,500.0,12146.0,11888.0,674.0
715.0,한독,12260.0,상승  270,+2.25%,500.0,5227.0,7903.0,126.0
716.0,한세예스24홀딩스,4215.0,상승  35,+0.84%,500.0,27808.0,21523.0,1897.0
717.0,CJ제일제당 우,126500.0,상승  900,+0.72%,5000.0,,,
718.0,동양,700.0,상승  7,+1.01%,500.0,8663.0,10996.0,265.0
719.0,그린케미칼,6960.0,상승  230,+3.42%,500.0,2823.0,2014.0,50.0
720.0,강남제비스코,25600.0,하락  50,-0.19%,1000.0,6388.0,9857.0,232.0
721.0,TIGER 코스피,25385.0,상승  415,+1.66%,0.0,,,
722.0,유니퀘스트,7660.0,상승  140,+1.86%,500.0,6659.0,4544.0,340.0
723.0,콘텐트리중앙,8570.0,하락  30,-0.35%,5000.0,9930.0,24531.0,-681.0
724.0,경보제약,6900.0,상승  60,+0.88%,500.0,2164.0,2663.0,55.0
725.0,삼성전기우,56600.0,상승  300,+0.53%,5000.0,,,
726.0,한국제지,863.0,상승  13,+1.53%,1000.0,7120.0,7368.0,135.0
727.0,SG글로벌,3650.0,상승  175,+5.04%,500.0,966.0,1982.0,66.0
728.0,KEC,817.0,상승  22,+2.77%,500.0,2069.0,4477.0,-330.0
729.0,서연,6900.0,하락  30,-0.43%,500.0,40207.0,27719.0,2569.0
730.0,코오롱모빌리티그룹,2580.0,상승  70,+2.79%,500.0,24030.0,8043.0,394.0
731.0,TIGER 차이나CSI300,10015.0,하락  100,-0.99%,0.0,,,
732.0,S-Oil우,40000.0,"상승  2,300",+6.10%,2500.0,,,
733.0,TIGER 미국테크TOP10채권혼합,12985.0,상승  30,+0.23%,0.0,,,
734.0,NPC,4340.0,상승  85,+2.00%,500.0,5087.0,5376.0,296.0
735.0,일진다이아,11220.0,상승  320,+2.94%,1000.0,1545.0,5940.0,-44.0
736.0,SOL 미국AI소프트웨어,13220.0,하락  115,-0.86%,0.0,,,
737.0,노루페인트,7960.0,상승  50,+0.63%,500.0,7805.0,6686.0,419.0
738.0,현대리바트,7730.0,상승  180,+2.38%,1000.0,15857.0,8995.0,-199.0
739.0,KODEX 미국서학개미,18950.0,하락  160,-0.84%,0.0,,,
740.0,대동전자,15040.0,보합0,0.00%,500.0,290.0,2721.0,49.0
741.0,ACE 단기통안채,100425.0,상승  15,+0.01%,0.0,,,
742.0,대유플러스,1984.0,보합0,0.00%,500.0,353.0,566.0,-328.0
743.0,삼성출판사,15690.0,상승  40,+0.26%,500.0,418.0,1966.0,-13.0
744.0,TIGER 글로벌혁신블루칩TOP10,16025.0,하락  20,-0.12%,0.0,,,
745.0,RISE 글로벌자산배분액티브,13010.0,상승  10,+0.08%,0.0,,,
746.0,신원,1514.0,상승  14,+0.93%,500.0,8345.0,5450.0,234.0
747.0,TIGER 인도빌리언컨슈머,10785.0,상승  225,+2.13%,0.0,,,
748.0,미창석유,88800.0,하락  900,-1.00%,5000.0,4092.0,4162.0,480.0
749.0,모나용평,3190.0,상승  5,+0.16%,5000.0,2116.0,10049.0,214.0
750.0,효성화학,40350.0,"상승  1,800",+4.67%,5000.0,27916.0,31156.0,-1888.0
751.0,토니모리,6360.0,상승  80,+1.27%,200.0,1511.0,2026.0,96.0
752.0,TIGER 미국나스닥100TR채권혼합Fn,12960.0,상승  15,+0.12%,0.0,,,
753.0,디아이씨,3930.0,하락  25,-0.63%,500.0,7287.0,6841.0,361.0
754.0,서흥,13190.0,상승  290,+2.25%,500.0,5946.0,9937.0,430.0
755.0,경동인베스트,64400.0,"상승  2,900",+4.72%,5000.0,3125.0,6069.0,212.0
756.0,삼양통상,50500.0,상승  200,+0.40%,5000.0,1793.0,4548.0,177.0
757.0,페이퍼코리아,844.0,상승  4,+0.48%,500.0,3621.0,4917.0,312.0
758.0,퍼스텍,3075.0,상승  5,+0.16%,500.0,1731.0,2651.0,25.0
759.0,PLUS 국고채10년액티브,55365.0,상승  175,+0.32%,0.0,,,
760.0,TIGER 미국채10년선물,12760.0,상승  25,+0.20%,0.0,,,
761.0,KODEX TDF2050액티브,14415.0,하락  40,-0.28%,0.0,,,
762.0,대성산업,3295.0,상승  15,+0.46%,5000.0,16081.0,17333.0,294.0
763.0,ACE 26-06 회사채(AA-이상)액티브,10900.0,상승  5,+0.05%,0.0,,,
764.0,한양증권,11680.0,하락  160,-1.35%,5000.0,9990.0,17478.0,463.0
765.0,KODEX 장기종합채권(AA-이상)액티브,100975.0,상승  185,+0.18%,0.0,,,
766.0,에스엠벡셀,1336.0,상승  1,+0.07%,500.0,2027.0,1033.0,95.0
767.0,TIGER 국고채30년스트립액티브,60645.0,상승  245,+0.41%,0.0,,,
768.0,RISE 25-11 회사채(AA-이상)액티브,52525.0,상승  25,+0.05%,0.0,,,
769.0,삼성제약,1564.0,상승  6,+0.39%,500.0,520.0,935.0,-180.0
770.0,대신증권2우B,14700.0,하락  10,-0.07%,5000.0,,,
771.0,ACE 엔비디아채권혼합블룸버그,22390.0,상승  190,+0.86%,0.0,,,
772.0,KODEX 바이오,8115.0,상승  225,+2.85%,0.0,,,
773.0,대창단조,5060.0,상승  20,+0.40%,500.0,3721.0,3348.0,464.0
774.0,NH올원리츠,3375.0,상승  20,+0.60%,500.0,192.0,6604.0,107.0
775.0,태경산업,4945.0,상승  65,+1.33%,500.0,6560.0,6356.0,441.0
776.0,신라교역,9030.0,하락  280,-3.01%,500.0,4342.0,7486.0,139.0
777.0,한투 인버스 2X 코스닥150선물 ETN,7175.0,하락  600,-7.72%,0.0,,,
778.0,금호석유우,47450.0,상승  500,+1.06%,5000.0,,,
779.0,대한화섬,107900.0,"상승  1,800",+1.70%,5000.0,1344.0,8609.0,24.0
780.0,교촌에프앤비,5730.0,상승  570,+11.05%,500.0,4450.0,3264.0,248.0
781.0,유니켐,1471.0,상승  3,+0.20%,500.0,1083.0,2195.0,47.0
782.0,이지스레지던스리츠,3865.0,상승  10,+0.26%,1000.0,423.0,3944.0,384.0
783.0,이수화학,6260.0,상승  220,+3.64%,5000.0,19955.0,10935.0,-560.0
784.0,태림포장,1999.0,상승  56,+2.88%,500.0,7196.0,7160.0,222.0
785.0,TIGER 차이나과창판STAR50(합성),7735.0,하락  35,-0.45%,0.0,,,
786.0,한국주철관,6190.0,상승  30,+0.49%,500.0,4563.0,4341.0,204.0
787.0,STX,4535.0,상승  85,+1.91%,2500.0,9038.0,5787.0,-150.0
788.0,신세계건설,18110.0,보합0,0.00%,5000.0,15026.0,12617.0,-1878.0
789.0,TIGER 글로벌온디바이스AI,10745.0,하락  15,-0.14%,0.0,,,
790.0,RISE 2차전지액티브,6540.0,상승  305,+4.89%,0.0,,,
791.0,TIGER BBIG,5955.0,상승  150,+2.58%,0.0,,,
792.0,TIGER 미국MSCI리츠(합성 H),12635.0,하락  105,-0.82%,0.0,,,
793.0,효성ITX,12060.0,하락  110,-0.90%,500.0,5038.0,1763.0,192.0
794.0,메리츠 3X 레버리지 국채30년 ETN,69685.0,상승  490,+0.71%,0.0,,,
795.0,금호에이치티,649.0,보합0,0.00%,500.0,3643.0,4418.0,108.0
796.0,유수홀딩스,5320.0,보합0,0.00%,2500.0,3418.0,5145.0,210.0
797.0,TIGER 미국투자등급회사채액티브(H),48515.0,상승  35,+0.07%,0.0,,,
798.0,KODEX 미국S&P500선물(H),26490.0,하락  175,-0.66%,0.0,,,
799.0,사조동아원,975.0,상승  13,+1.35%,500.0,6785.0,4488.0,386.0
800.0,한투 코스피 양매도 5% OTM ETN,9150.0,보합0,0.00%,0.0,,,
801.0,SK디앤디,7370.0,상승  200,+2.79%,1000.0,4797.0,24231.0,1904.0
802.0,티와이홀딩스,2715.0,보합0,0.00%,500.0,3254.0,23169.0,-3541.0
803.0,SOL 미국테크TOP10,13685.0,하락  50,-0.36%,0.0,,,
804.0,신흥,14380.0,상승  30,+0.21%,500.0,1124.0,1403.0,114.0
805.0,ACE 엔비디아밸류체인액티브,9875.0,상승  195,+2.01%,0.0,,,
806.0,선진,5690.0,상승  50,+0.89%,500.0,19060.0,12581.0,975.0
807.0,이구산업,4045.0,상승  5,+0.12%,500.0,4334.0,3139.0,102.0
808.0,삼성 인버스 2X WTI원유 선물 ETN,90.0,하락  3,-3.23%,0.0,,,
809.0,아시아나IDT,12080.0,상승  140,+1.17%,500.0,1884.0,2227.0,91.0
810.0,우진,6550.0,상승  90,+1.39%,500.0,1291.0,2403.0,154.0
811.0,미래에셋 코스피 양매도 5% OTM ETN,8825.0,보합0,0.00%,0.0,,,
812.0,KODEX 한국부동산리츠인프라,4615.0,상승  35,+0.76%,0.0,,,
813.0,ACE 미국WideMoat동일가중,27720.0,하락  235,-0.84%,0.0,,,
814.0,KODEX 미국배당커버드콜액티브,12030.0,하락  5,-0.04%,0.0,,,
815.0,진양산업,10120.0,상승  530,+5.53%,500.0,869.0,900.0,76.0
816.0,AK홀딩스,9900.0,상승  230,+2.38%,5000.0,44797.0,53150.0,2791.0
817.0,한솔테크닉스,4080.0,상승  125,+3.16%,5000.0,13027.0,9540.0,489.0
818.0,신세계푸드,33700.0,하락  100,-0.30%,5000.0,14889.0,8755.0,264.0
819.0,태경케미컬,11240.0,상승  20,+0.18%,500.0,707.0,1829.0,179.0
820.0,디씨엠,11360.0,상승  30,+0.26%,500.0,2183.0,2776.0,91.0
821.0,삼성물산우B,88200.0,"상승  1,300",+1.50%,100.0,,,
822.0,CJ우,57200.0,상승  200,+0.35%,5000.0,,,
823.0,SOL 미국S&P500,17950.0,하락  80,-0.44%,0.0,,,
824.0,에이프로젠바이오로직스,651.0,상승  4,+0.62%,500.0,874.0,5894.0,-575.0
825.0,태경비케이,4665.0,상승  70,+1.52%,500.0,2942.0,3780.0,401.0
826.0,제일파마홀딩스,8040.0,상승  210,+2.68%,500.0,8040.0,8800.0,208.0
827.0,TIGER 바이오TOP10,7255.0,상승  140,+1.97%,0.0,,,
828.0,자이에스앤디,3310.0,상승  85,+2.64%,1000.0,23746.0,15692.0,1266.0
829.0,KH 필룩스,6630.0,보합0,0.00%,500.0,1402.0,10358.0,-111.0
830.0,삼영,3770.0,상승  105,+2.86%,500.0,1226.0,1322.0,60.0
831.0,유한양행우,107000.0,상승  900,+0.85%,1000.0,,,
832.0,ACE 미국500데일리타겟커버드콜(합성),11175.0,상승  5,+0.04%,0.0,,,
833.0,키다리스튜디오,3400.0,상승  50,+1.49%,500.0,1710.0,3443.0,-57.0
834.0,벽산,1857.0,상승  20,+1.09%,500.0,6207.0,6204.0,447.0
835.0,KODEX 미국나스닥100데일리커버드콜OTM,10590.0,하락  30,-0.28%,0.0,,,
836.0,디와이파워,11310.0,상승  30,+0.27%,500.0,4300.0,3367.0,363.0
837.0,1Q 현대차그룹채권(A+이상)&국고통안,50485.0,상승  65,+0.13%,0.0,,,
838.0,유화증권,2190.0,상승  15,+0.69%,1000.0,323.0,8030.0,-4.0
839.0,만호제강,29750.0,상승  100,+0.34%,1000.0,1799.0,2048.0,-308.0
840.0,극동유화,3525.0,상승  25,+0.71%,500.0,11580.0,4300.0,278.0
841.0,진흥기업,840.0,상승  11,+1.33%,500.0,7594.0,5743.0,517.0
842.0,KIB플러그에너지,515.0,보합0,0.00%,500.0,1373.0,2219.0,129.0
843.0,조선선재,96500.0,하락  500,-0.52%,500.0,666.0,1555.0,106.0
844.0,동성제약,4625.0,상승  25,+0.54%,1000.0,886.0,1150.0,6.0
845.0,TIGER 미국AI빅테크10,12110.0,하락  15,-0.12%,0.0,,,
846.0,종근당바이오,21950.0,보합0,0.00%,2500.0,1604.0,2938.0,-202.0
847.0,아모레G3우(전환),16950.0,하락  160,-0.94%,500.0,,,
848.0,PLUS 국공채머니마켓액티브,50625.0,상승  10,+0.02%,0.0,,,
849.0,대창,1311.0,상승  41,+3.23%,500.0,13230.0,7595.0,-93.0
850.0,수산중공업,1906.0,상승  1,+0.05%,500.0,2265.0,2631.0,164.0
851.0,SOL 2차전지소부장Fn,3940.0,상승  225,+6.06%,0.0,,,
852.0,RISE IT플러스,14545.0,상승  435,+3.08%,0.0,,,
853.0,KODEX 미국배당다우존스타겟커버드콜,10725.0,하락  15,-0.14%,0.0,,,
854.0,SOL 국고채10년,107405.0,상승  325,+0.30%,0.0,,,
855.0,KCTC,3930.0,상승  50,+1.29%,500.0,8231.0,6621.0,368.0
856.0,TIGER 미국AI빅테크10타겟데일리커버드콜,11390.0,하락  5,-0.04%,0.0,,,
857.0,금강공업,4010.0,상승  45,+1.13%,1000.0,8569.0,11305.0,666.0
858.0,KODEX 2차전지핵심소재10,4160.0,상승  240,+6.12%,0.0,,,
859.0,ACE 2월만기자동연장회사채AA-이상액티브,10390.0,보합0,0.00%,0.0,,,
860.0,동남합성,33450.0,"상승  1,400",+4.37%,500.0,1667.0,976.0,81.0
861.0,동원금속,2495.0,상승  20,+0.81%,500.0,5682.0,4789.0,357.0
862.0,대영포장,1076.0,상승  41,+3.96%,500.0,2835.0,2211.0,111.0
863.0,한투 나스닥 100 ETN,23315.0,하락  95,-0.41%,0.0,,,
864.0,청호ICT,2490.0,보합0,0.00%,500.0,214.0,526.0,5.0
865.0,샘표식품,25400.0,상승  700,+2.83%,500.0,3834.0,3667.0,98.0
866.0,현대약품,3625.0,상승  10,+0.28%,500.0,1808.0,1546.0,69.0
867.0,KoAct 바이오헬스케어액티브,13410.0,상승  420,+3.23%,0.0,,,
868.0,KODEX 미국AI테크TOP10,11760.0,하락  35,-0.30%,0.0,,,
869.0,신한 미국달러 SOFR금리 플러스 ETN,11570.0,상승  15,+0.13%,0.0,,,
870.0,KTcs,2710.0,상승  5,+0.18%,500.0,10354.0,4349.0,187.0
871.0,SOL 25-09 회사채(AA-이상)액티브,53530.0,상승  40,+0.07%,0.0,,,
872.0,경인양행,2770.0,상승  20,+0.73%,500.0,3454.0,5390.0,-22.0
873.0,HANARO 종합채권(AA-이상)액티브,113305.0,상승  415,+0.37%,0.0,,,
874.0,TIGER 코리아밸류업,9505.0,상승  130,+1.39%,0.0,,,
875.0,TIGER 미국나스닥100레버리지(합성),26600.0,하락  290,-1.08%,0.0,,,
876.0,계룡건설,12780.0,하락  110,-0.85%,5000.0,29770.0,27269.0,1007.0
877.0,동인기연,18600.0,상승  570,+3.16%,100.0,2161.0,2173.0,283.0
878.0,휴니드,8050.0,상승  200,+2.55%,5000.0,2288.0,2993.0,174.0
879.0,HS효성,30450.0,상승  400,+1.33%,5000.0,,,
880.0,대성홀딩스,7040.0,상승  50,+0.72%,1000.0,12168.0,12460.0,100.0
881.0,1Q 25-08 회사채(A+이상)액티브,107100.0,상승  25,+0.02%,0.0,,,
882.0,TIGER 코스닥150,12045.0,상승  440,+3.79%,0.0,,,
883.0,SJG세종,4060.0,상승  70,+1.75%,500.0,17923.0,11518.0,519.0
884.0,세아특수강,13100.0,상승  20,+0.15%,5000.0,10293.0,6938.0,90.0
885.0,한국수출포장,2800.0,보합0,0.00%,500.0,3123.0,3570.0,229.0
886.0,RISE 2차전지TOP10인버스(합성),35250.0,"하락  1,970",-5.29%,0.0,,,
887.0,국제약품,5280.0,보합0,0.00%,1000.0,1354.0,1633.0,-20.0
888.0,HDC현대EP,3500.0,상승  60,+1.74%,500.0,10081.0,6054.0,330.0
889.0,샘표,38750.0,상승  950,+2.51%,1000.0,3839.0,4746.0,81.0
890.0,ACE 미국나스닥100채권혼합액티브,13705.0,하락  15,-0.11%,0.0,,,
891.0,ACE 중국본토CSI300,27450.0,하락  405,-1.45%,0.0,,,
892.0,우신시스템,6050.0,하락  10,-0.17%,500.0,2422.0,3805.0,124.0
893.0,모나리자,3020.0,상승  5,+0.17%,500.0,1298.0,970.0,65.0
894.0,TIGER 26-04 회사채(A+이상)액티브,50175.0,상승  65,+0.13%,0.0,,,
895.0,KODEX 미국나스닥100선물(H),24450.0,하락  150,-0.61%,0.0,,,
896.0,TIGER 글로벌메타버스액티브,11735.0,상승  90,+0.77%,0.0,,,
897.0,한투 S&P500 선물 ETN,21860.0,하락  100,-0.46%,0.0,,,
898.0,신한 블룸버그 2X 천연가스 선물 ETN,7215.0,하락  65,-0.89%,0.0,,,
899.0,덕성,6900.0,상승  100,+1.47%,500.0,1079.0,1268.0,51.0
900.0,PLUS 코스피TR,13270.0,상승  180,+1.38%,0.0,,,
901.0,TIGER 글로벌4차산업혁신기술(합성 H),16790.0,하락  80,-0.47%,0.0,,,
902.0,TIGER 미국다우존스30,30540.0,하락  150,-0.49%,0.0,,,
903.0,KODEX 미국종합채권ESG액티브(H),100895.0,상승  235,+0.23%,0.0,,,
904.0,인천도시가스,24650.0,상승  50,+0.20%,5000.0,7813.0,4439.0,165.0
905.0,한진중공업홀딩스,3650.0,하락  10,-0.27%,5000.0,12426.0,18657.0,394.0
906.0,CJ씨푸드,2995.0,상승  45,+1.53%,500.0,1483.0,1682.0,41.0
907.0,미래에셋글로벌리츠,2700.0,상승  45,+1.69%,1000.0,128.0,3613.0,42.0
908.0,아남전자,1386.0,상승  21,+1.54%,500.0,3337.0,2118.0,94.0
909.0,미래에셋 인버스 2X 코스닥150 선물 ETN,7120.0,하락  585,-7.59%,0.0,,,
910.0,동방,2225.0,상승  35,+1.60%,1000.0,7678.0,5993.0,352.0
911.0,ACE 미국30년국채엔화노출액티브(H),9075.0,상승  10,+0.11%,0.0,,,
912.0,동양철관,676.0,상승  18,+2.74%,500.0,2783.0,2088.0,22.0
913.0,삼익악기,1172.0,상승  3,+0.26%,500.0,2479.0,5342.0,65.0
914.0,BNK 26-06 특수채(AAA이상)액티브,50185.0,상승  60,+0.12%,0.0,,,
915.0,RISE 코스닥150,11660.0,상승  450,+4.01%,0.0,,,
916.0,마이티 26-09 특수채(AAA)액티브,104535.0,상승  200,+0.19%,0.0,,,
917.0,히어로즈 25-09 회사채(AA-이상)액티브,50535.0,상승  35,+0.07%,0.0,,,
918.0,KODEX AI전력핵심설비,9700.0,상승  30,+0.31%,0.0,,,
919.0,디와이,3975.0,상승  10,+0.25%,500.0,11912.0,9302.0,433.0
920.0,두산2우B,117100.0,"상승  10,100",+9.44%,5000.0,,,
921.0,신한 KOFR금리 ETN,104325.0,상승  10,+0.01%,0.0,,,
922.0,경동도시가스,17630.0,보합0,0.00%,2500.0,17995.0,9513.0,283.0
923.0,HS애드,6270.0,하락  50,-0.79%,1000.0,5483.0,5478.0,264.0
924.0,아주스틸,3900.0,보합0,0.00%,500.0,9446.0,9959.0,-133.0
925.0,TIGER 소프트웨어,7840.0,상승  210,+2.75%,0.0,,,
926.0,RISE 국고채10년액티브,106465.0,상승  495,+0.47%,0.0,,,
927.0,대현,2310.0,상승  30,+1.32%,500.0,2953.0,3093.0,213.0
928.0,한국특강,1680.0,상승  40,+2.44%,500.0,8304.0,5610.0,473.0
929.0,KB 블룸버그 인버스2X 천연가스선물 ETN(H),40840.0,상승  20,+0.05%,0.0,,,
930.0,KOSEF 단기자금,101580.0,상승  30,+0.03%,0.0,,,
931.0,파워 종합채권(AA-이상)액티브,100770.0,보합0,0.00%,0.0,,,
