N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
111.0,LS,98000.0,상승  900,+0.93%,5000.0,244807.0,182460.0,8997.0
112.0,한화솔루션,17880.0,"상승  1,730",+10.71%,5000.0,132887.0,244929.0,6045.0
113.0,포스코DX,20200.0,상승  900,+4.66%,500.0,14859.0,8898.0,1106.0
114.0,JB금융지주,15700.0,하락  100,-0.63%,5000.0,41938.0,634040.0,8000.0
115.0,엘앤에프,81600.0,"상승  4,100",+5.29%,500.0,46441.0,33514.0,-2223.0
116.0,키움증권,115300.0,"상승  2,900",+2.58%,5000.0,95448.0,520464.0,5647.0
117.0,현대건설,25850.0,상승  400,+1.57%,5000.0,296514.0,237145.0,7854.0
118.0,현대제철,21350.0,상승  500,+2.40%,5000.0,259148.0,352188.0,7983.0
119.0,KODEX 종합채권(AA-이상)액티브,116655.0,상승  245,+0.21%,0.0,,,
120.0,CJ,97100.0,하락  400,-0.41%,5000.0,413527.0,472038.0,20391.0
121.0,동서,26750.0,상승  50,+0.19%,500.0,4897.0,16940.0,438.0
122.0,TIGER 미국필라델피아반도체나스닥,19545.0,상승  130,+0.67%,0.0,,,
123.0,롯데케미칼,59900.0,"상승  2,100",+3.63%,5000.0,199464.0,334763.0,-3477.0
124.0,금호석유,93100.0,"상승  4,100",+4.61%,5000.0,63225.0,79797.0,3590.0
125.0,휠라홀딩스,40200.0,상승  350,+0.88%,1000.0,40066.0,49801.0,3035.0
126.0,KODEX 레버리지,14380.0,상승  550,+3.98%,0.0,,,
127.0,농심,381000.0,하락  500,-0.13%,5000.0,34106.0,32348.0,2121.0
128.0,KODEX 200TR,11435.0,상승  215,+1.92%,0.0,,,
129.0,F&F,59400.0,"상승  3,200",+5.69%,100.0,19785.0,20051.0,5518.0
130.0,현대해상,25000.0,보합0,0.00%,500.0,159145.0,440880.0,7882.0
131.0,롯데지주,21250.0,상승  350,+1.67%,200.0,151598.0,231604.0,4937.0
132.0,에스원,58000.0,"상승  1,400",+2.47%,500.0,26208.0,21795.0,2126.0
133.0,대한전선,11650.0,하락  30,-0.26%,1000.0,28440.0,18786.0,798.0
134.0,한화생명,2500.0,상승  55,+2.25%,5000.0,227824.0,1479018.0,10570.0
135.0,한온시스템,4025.0,상승  15,+0.37%,100.0,95593.0,92444.0,2773.0
136.0,아시아나항공,10410.0,상승  20,+0.19%,5000.0,76233.0,130167.0,6199.0
137.0,SK가스,227500.0,"상승  16,000",+7.57%,5000.0,69923.0,60818.0,3036.0
138.0,한올바이오파마,40100.0,"상승  1,600",+4.16%,500.0,1349.0,2397.0,22.0
139.0,한전기술,54700.0,"상승  1,000",+1.86%,200.0,5451.0,8550.0,286.0
140.0,RISE 머니마켓액티브,53500.0,하락  20,-0.04%,0.0,,,
141.0,산일전기,68000.0,상승  100,+0.15%,500.0,2145.0,1913.0,466.0
142.0,한화,27600.0,상승  550,+2.03%,5000.0,531348.0,2097381.0,24119.0
143.0,TIGER MSCI Korea TR,13685.0,상승  265,+1.97%,0.0,,,
144.0,에이피알,54100.0,"상승  3,000",+5.87%,100.0,5238.0,2873.0,1042.0
145.0,KCC,230500.0,"상승  2,500",+1.10%,5000.0,62884.0,133535.0,3125.0
146.0,한미사이언스,29850.0,상승  650,+2.23%,500.0,12479.0,12262.0,1245.0
147.0,현대엘리베이,50800.0,하락  300,-0.59%,5000.0,26021.0,35354.0,826.0
148.0,녹십자,169400.0,"하락  3,000",-1.74%,5000.0,16266.0,26433.0,344.0
149.0,한전KPS,43950.0,하락  150,-0.34%,200.0,15339.0,15973.0,1994.0
150.0,제일기획,17130.0,상승  10,+0.06%,200.0,41383.0,28895.0,3075.0
151.0,TIGER 미국배당다우존스,12820.0,하락  50,-0.39%,0.0,,,
152.0,CJ대한통운,85100.0,"상승  1,000",+1.19%,5000.0,117679.0,93576.0,4802.0
153.0,HL만도,40400.0,"하락  1,800",-4.27%,1000.0,83931.0,62867.0,2793.0
154.0,TIGER 200,32665.0,상승  640,+2.00%,0.0,,,
155.0,씨에스윈드,44750.0,"상승  2,250",+5.29%,500.0,15202.0,28326.0,1047.0
156.0,더존비즈온,61300.0,"하락  1,400",-2.23%,500.0,3536.0,8833.0,691.0
157.0,KODEX 코스닥150레버리지,7220.0,상승  500,+7.44%,0.0,,,
158.0,영원무역,41500.0,상승  950,+2.34%,500.0,36044.0,52971.0,6371.0
159.0,팬오션,3400.0,상승  110,+3.34%,1000.0,43610.0,78539.0,3859.0
160.0,코스모신소재,55800.0,"상승  5,400",+10.71%,1000.0,6296.0,6727.0,323.0
161.0,KODEX CD1년금리플러스액티브(합성),1022245.0,상승  80,+0.01%,0.0,,,
162.0,ACE 미국30년국채액티브(H),7865.0,상승  40,+0.51%,0.0,,,
163.0,이수페타시스,28450.0,"상승  1,000",+3.64%,1000.0,6753.0,6264.0,622.0
164.0,BGF리테일,103600.0,"상승  2,100",+2.07%,1000.0,81948.0,32191.0,2532.0
165.0,아모레G,21250.0,상승  500,+2.41%,500.0,40213.0,76314.0,1520.0
166.0,이마트,62700.0,상승  600,+0.97%,5000.0,294722.0,334439.0,-469.0
167.0,KODEX 미국나스닥100TR,20630.0,하락  110,-0.53%,0.0,,,
168.0,TIGER 차이나전기차SOLACTIVE,9030.0,하락  155,-1.69%,0.0,,,
169.0,SK아이이테크놀로지,23600.0,"상승  1,500",+6.79%,1000.0,6496.0,40838.0,320.0
170.0,한화인더스트리얼솔루션즈,33050.0,"상승  1,500",+4.75%,500.0,,,
171.0,코스맥스,144900.0,"상승  4,800",+3.43%,500.0,17775.0,15571.0,1157.0
